aspect term	category	polarity	text
;flash	 picture	 positive	contrary to what ive read elsewhere , the g3 does sync at 1 / 250 of a second with third - party flashes , just as it does with the dedicated flashes from canon .
;control;auto mode	 camera camera	 positive positive	"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use ."
;look	 camera	 negative	the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots .
;focus assist light	 camera	 negative	it does not have an auto - focus assist light which is nice for taking shots in low - light situations it allows the camera to focus in low light .
;buget;camera	 price camera	 positive positive	however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice .
;picture quality	 picture	 positive	picture quality in outdoor settings is indistinguishable from 35mm .
;null	 camera	 negative	canon ' s g3 does it consistently .
;photo quality	 picture	 positive	i have taken hundreds of photos with it and i continue to be amazed by their quality .
;menu	 usability	 positive	the menus and features are easy to manipulate and access , and it takes silent movies .
;audio	 picture	 negative	audio on video also lacking .
;focus	 camera	 positive	you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on - screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .
;optical zoom	 camera	 negative	it has a 3x optical zoom , which is average for these cameras .
;lens cap;viewfinder	 camera camera	 negative negative	the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .
;sunset feature	 camera	 positive	sunset feature takes incredible pics in the morning , and the evening !
;camera	 camera	 positive	everything else about the camera is great .
;picture quality	 picture	 positive	a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) )
;zooming lever	 camera	 negative	the zooming lever is shaky , i hope it does not operate mechanically , otherwise you ' ll feel uneasy .
;camera	 price	 positive	if you have to buy a camera on a buget , this has got to be the one .
;photo quality	 picture	 positive	4 megapixels is enough for anybody and the photo quality is awesome .
;camera	 camera	 positive	"in a word , "" awesome "" is how i would describe this camera ."
;functions	 camera	 positive	range of functions - as indicated above - it has something for everyone : point and shoot power plus advanced functions for those who are serious about photography .
;camera	 camera	 positive	this is my first digital camera and i could n ' t be happier .
;viewfinder;lcd;null	 camera camera camera	 negative positive positive	not perfect ( yes , the viewfinder can get obstructed in instances . but the lcd works well enough in those instances ) , not the cheapest 4 . 0 mp , but the best 4 . 0 mp .
;camera;null	 camera price	 positive positive	even with these shortcomings , i still think it is the best digital camera available under $ 1200 .
;delay	 camera	 negative	2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow .
;body	 camera	 negative	2 ) the body construction - buttons , casing , etc , are too plastic .
;pictures	 picture	 positive	i selected the 4300 right away and have gotten high quality pictures every time .
;control;menu	 camera usability	 positive positive	i love the eos based controls and easy menus .
;download	 camera	 positive	downloads are a snap and quick .
;camera	 camera	 positive	i have owned this camera for a short time and would n ' t give it up for anything .
;null	 camera	 positive	operating its many features is easy and often obvious - i ' m no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store .
;digital zoom;optical zoom	 camera camera	 positive positive	the digital zoom takes as good of pictures , as the optical zoom does !
;memory card	 memory	 negative	the included memory card is too small .
;pictures	 picture	 positive	just a little overview , powershot g3 is the flagship of canon ' s powershot series and its an slr - like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .
;zoomed images	 picture	 positive	i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive .
;camera;null	 camera size	 positive positive	overall the nikon 4300 is a very dependable , robust , and useful little camera .
;darn diopter adjustment dial	 camera	 negative	the reason i rated it a four is because of that darn diopter adjustment dial . its very small and hard to turn so you can ' t get an accurate adjustment ( for those of you who do n ' t know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )
;photo quality	 picture	 positive	the photo quality is amazing and i know i ' m going to have fun with all the features .
;features	 camera	 positive	it ' s slightly lighter than the g2 and packed with even more features .
;camera	 camera	 positive	there are so many functions in this little , yet powerful camera !
;pictures;indoor shot	 picture picture	 positive positive	the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away .
;built quality;lens	 camera camera	 positive positive	proven canon built quality and lens .
;battery life	 battery	 positive	battery life is ok .
;lcd	 camera	 positive	the moveable lcd screen is great .
;software;online service	 camera customer support	 positive positive	the software that comes with it is amazing and the online service that comes free is really very neat . clean clear and well focused on over 95 % of all photos taken by a beginner .
;null	 camera	 positive	it is versatile and seems to be one of the best .
;battery life	 battery	 positive	battery life , the drawback to most digital cameras , to quote k . reeves .
;null;resolution;camera	 size picture camera	 positive positive positive	if you ' re looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 !
;8mb card	 memory	 negative	i only have one complaint , and that is the 8mb card included .
;auto mode	 camera	 negative	. this camera keeps on autofocussing in auto mode with a buzzing sound which can ' t be stopped .
;lever	 camera	 negative	the function lever - the one which switches between capture and view mode feels fragile .
;battery	 battery	 positive	the battery recharges ral fast and the recharger thingy that comes with is real nice .
;dial	 camera	 negative	* main dial is not backlit .
;pictures	 picture	 positive	i love the quality of the pictures .
;automode;manual modes	 camera camera	 positive positive	the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes .
;viewfinder	 camera	 negative	one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all .
;powershot g3;price	 camera price	 positive positive	i recommend unreservedly the powershot g3 to any potential buyer looking for a first - class digital camera at a reasonable price - there is no better camera out there - period !
;null	 picture	 positive	first and foremost , it will take better pic ' s than most film camera ' s .
;dial	 camera	 positive	with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality .
;null	 camera	 positive	and so far , i ' ve been very pleased .
;use	 usability	 positive	2 it is easy enough for my grandmother to use .
;use	 	 positive	it is easy enough to use for a beginner like me but it has plenty of features for me to grow into .
;photo;use;software	 picture usability camera	 positive positive positive	4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd screen ) , a lot of features and add - on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance ' s stamp of approval ( two thumbs up ! )
;battery life	 battery	 positive	2 . battery life is over 4 . 5 hours , compared to about 2 . 5 hours for the g2 or the 2 hours for most nikons .
;null	 camera	 positive	this is quite simply the best you can ask for .
;digital camera	 camera	 positive	simply , the canon g3 is the best digital camera out there today at this price point .
;pictures	 picture	 positive	the pictures are absolutely amazing - the camera captures the minutest of details .
;viewfinder	 camera	 negative	the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .
;focus;shoot	 camera camera	 negative negative	it feels slow to focus , and unbearably slow to shoot .
;design;features;use;battery	 camera camera usability battery	 positive positive positive positive	it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !
;null	 camera	 negative	2 ) not very ergonomical - you ' ll find even for a point - and - shoot lens )
;zoom	 camera	 positive	3 ) 4x zoom is nice
;features	 camera	 positive	the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds .
;camera	 camera	 positive	i am quite happy with the camera .
;camera;use	 camera usability	 positive positive	i fell in love with this camera , it combines ease of use , with an immense amount of options and power .
;4mp camera	 camera	 positive	the canon g3 is perhaps the best 4mp camera out there .
;camera	 camera	 positive	am i ever glad that i decided on this camera !
;camera;use;null;images	 camera usability size picture	 positive positive positive positive	in my opinion it ' s the best camera for the money if you ' re looking for something that ' s easy to use , small good for travel , and provides excellent , sharp images .
;firewire	 camera	 negative	1 no direct firewire to the camera .
;g3	 camera	 negative	unfortunately , this digital moment - capturing device called the g3 sometimes captures the moment after the one you wanted .
;battery charging system	 battery	 positive	the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery .
;optical setting	 camera	 positive	however , its 3x optical setting is acceptable for 70 % of the shots that i take .
;camera	 camera	 positive	this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .
;feature	 camera	 positive	i love all of the features , and presets as well .
;features	 camera	 negative	sure it had all the features , but when i tried to shoot a girl ' s basketball game it just wan ' t up to the task .
;camera	 camera	 positive	but this camera is great !
;use	 usability	 positive	whether you are a novice or an expert , its ease of use and functionality goes together .
;null	 camera	 positive	i am very pleased with it so far .
;look	 camera	 positive	the g3 looks like a work of art !
;menu;button	 usability usability	 positive positive	the menus are easy to navigate and the buttons are easy to use .
;pictures	 picture	 positive	the highest optical zoom pictures are perfect .
;null;learn;images	 price usability picture	 positive positive positive	this camera was affordable , very easy to learn , and produces spectacular images .
;download	 camera	 positive	i was worried that 4 megapixel photos would download more slowly , but there ' s no difference in working with the files .
;lense cap	 picture	 positive	it does have a lense cap , but it wo n ' t let you take pics with it on which is real good .
;lag time;flash	 camera picture	 negative negative	the two limitations i knew i would have to deal with are the very long lag time before it focus - locks ( even in bright light ) , and the unsatisfactory light quality of the built - in flash .
;camera;print quality;tiny package	 camera camera size	 positive positive positive	awesome camera with huge print quality in a tiny package .
;viewfinder	 camera	 negative	2 the camera is so small that when you attach some lenses i have the 19mm wide - angle -- wc - e 68 , the optical viewfinder is partially obscured .
;camera	 camera	 positive	i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down . now buy it !
;software	 camera	 negative	what the g3 raw image software gives you is a fantasy world designed to please the uncritical .
;noise	 picture	 positive	another good thing is that this camera seems to introduce much less noise in dark places than others i ' ve seen .
;design	 camera	 negative	this camera has a major design flaw .
;use	 usability	 positive	i have not played with all the features yet , but the camera is easy to use once you get used to it .
;strap	 camera	 negative	the strap is horrible and gets in the way of parts of the camera you need access to .
;null	 camera	 positive	4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera .
;menu dial knob	 camera	 negative	within a year , there are problems with my menu dial knob .
;lens cover	 camera	 negative	b ) the lens cover is surely loose , i already accidently finger - printed the len a few times , and au lens tigt and cause potential damage .
;four megapixel	 picture	 positive	four megapixels is great .
;digital pictures	 picture	 positive	i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .
;manual	 usability	 positive	i have yet to try using all of the adjustment options : shutter priority , aperature priority , light metering adjustments , etc . , but all controls are well thought out and and the manual is relatively clear .
;control	 camera	 positive	i love having the option to manually control the f - stop , shutter speed and even focus .
;camera	 camera	 negative	i found that low light situations combined with any sort of action left this camera in the dust .
;auto setting	 camera	 positive	the auto setting does a great job most of the time but there are manual settings for those who want them .
;pictures	 picture	 positive	with canon , you get pictures that appear to be photos , not still camcorder shots .
;product	 camera	 positive	it is a very amazing product .
;16mb starter card	 memory	 positive	the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon .
;prints	 camera	 positive	the prints are beautiful !
;transfer	 usability	 negative	1 . pictures wo n ' t transfer to pc directly from the camera using the included transfer cable .
;pictures	 picture	 positive	after nearly 800 pictures i have found that this nikon takes incredible pictures .
;auto setting	 camera	 positive	newbies will find the full auto setting will give them perfect pictures right out of the box .
;macro shots	 camera	 positive	i particularly like the way it aids me in taking my macro shots .
;camera;price	 camera price	 positive positive	in summary , i love this camera and would whole - heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range .
;camera	 camera	 positive	nikon 4300 , i feel , is the best camera out there for the features and price .
;camera;price	 camera price	 positive positive	this is by far the finest camera in its price and category i have ever used .
;camera	 camera	 positive	this camera is worth every penny , and i highly recommend it !
;null	 camera	 positive	yes , i recommend it over the competition .
;camera	 camera	 positive	great camera .
;null	 camera	 positive	seriously , this thing has everything that a pro or expert amateur could want .
;camera	 camera	 positive	i have it for a week now , and this camera has exceeded my expectations .
;software	 camera	 negative	the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image - affecting settings in the camera .
;zoom;lense	 camera camera	 positive positive	the extended zoom range and faster lense put it at the top of it ' s class .
;movie	 picture	 negative	. the movie clips taken will always have some ' noise ' in it - you can ' t avoid that .
;camera	 camera	 positive	i love this camera .
;flash	 picture	 negative	relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .
;camera	 camera	 negative	made the camera totally inoperable .
;picture quality	 picture	 positive	a few of my work constituants owned the g2 and highly recommended the canon for picture quality .
;nikon	 camera	 positive	a nikon will make you happier and leave you lots of good memories , as always .
;pictures	 picture	 positive	took hundreds of pictures and they were great .
;photos	 picture	 positive	when i took outdoor photos with plenty of light and the objects were n ' t moving , the photos were awesome .
;camera;image quality	 camera picture	 positive positive	best camera ever . from the image quality , color , function , i can say almost everything .
;pictures	 picture	 positive	the picturers are amazing .
;null	 camera	 positive	the tiny ( postage - stamp sized ) remote unit is wonderful : not only does it trigger the shutter , it can also be used to zoom and review pictures .
;optical zoom;viewfinder	 camera camera	 positive positive	the optical zoom is awesome , and the viewfinder reflects the settings of the zoom .
;camera;features	 camera camera	 positive positive	this is my first digital camera and i can say that i am quite impressed with the features that it has .
;software	 camera	 negative	now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 !
;4mp	 camera	 positive	2 ) 4mp is about right for the target market of this camera ( semi - serious amateur photographer )
;camera	 camera	 positive	this camera is closest to perfect than any other digicam that is 4 - 5 megapixel .
;pictures	 picture	 positive	it takes great pictures .
;viewfinder	 camera	 negative	to address two previous somewhat negative reviews : ( 1 ) yes , the lens barrel does obstruct part of the lower left corner in the lens viewfinder ; however , the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder .
;manual	 usability	 positive	the manual is easy to understand , and it is mostly idiot proof .
;camera;use;photos;price	 camera usability picture price	 positive positive positive positive	very comfortable camera , easy to use , and the best digital photos you ' re going to get at this price .
;casing	 weight	 negative	it had a heavier and more sturdy casing .
;camera	 camera	 positive	the functionality on this camera is mind - blowing .
;rechargable battery	 battery	 positive	comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small .
;txt file	 camera	 positive	"i particularly like the "" txt "" file which records all the control information for all the pictures you take ."
;battery life	 battery	 positive	the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .
;null	 camera	 positive	seriously ! i love it !
;battery life	 battery	 positive	the battery life of this camera is twice that of the nikon 5000 and is better than anything else i ' ve seen .
;features;null	 camera size	 positive positive	ooh , and i dropped it and it still works fine : this little camera has so many features i have n ' t even gotten to all of them yet .
;camera	 camera	 positive	overall it is the best camera on the market .
;picture quality	 picture	 positive	i ' ve been pleased with the picture quality and durability in snow , car , boat and wind .
;flash photo;noise	 picture picture	 negative negative	well flash photos are never great , and there was still a lot of noise .
