aspect term	polarity	text	category
;null	 negative	Apple doesn't cover battery expansion under any circumstances not even under their Apple Care.	 warranty
;null	 negative	The battery is simply considered 'consumable' and NOT covered.	 warranty
;null	 negative	I asked the manager if he feels comfortable with me posting the picture of the MacBook Air on the internet with the description that Apple doesn't consider the product defective.	 warranty
;null	 negative	His reply astonished me, looking down at me behind his thick glasses he said: 'Make sure you have your facts straight before you smear!	 warranty
;swat team	 negative	He didn't specify who are 'they' but from the tone of his voice and his 6'5' posture it indicated something between the SWAT team and a bunch of LAWYERS.	 warranty
;apple	 negative	Here is my take on all of this, the business model Apple pushes right now is to get some cheap junk from China, hire a bunch of cheerleaders straight out of high school, call them geniuses, and bully everybody who complains about their product.	 company
;apple	 negative	Steve Jobs is dead, so is Apple.	 company
;apple	 negative	No more Apple devices in my household.	 company
;battery	 negative	Please Google 'MacBook battery bulge explode' before you buy your next Apple toy.	 battery
;battery;apple	 negative negative	Please Google 'MacBook battery bulge explode' before you buy your next Apple toy.	 battery company
;build quality	 positive	I've been spoiled by the build quality and stability of Macintosh and even this used computer is a gem.	 laptop
;build quality;computer	 positive positive	I've been spoiled by the build quality and stability of Macintosh and even this used computer is a gem.	 laptop laptop
;null	 positive	I can bat around all the things that everyone else says, but it's been what we've been using for decades and I have nothing bad to say.	 laptop
;null	 positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display
;null;null	 positive positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display laptop
;null;null;null	 positive positive positive	It churns out HD content, runs without many flaws and I've yet to get a virus on a Mac since I started using the platform in the early 1990's.	 display laptop laptop
;motherboard	 neutral	My 15&amp;#34; MacBook's motherboard fried but I think that was a sugar spill that I never bothered cleaning up.	 hardware
;macs	 positive	That's the only issue I've ever had since working on Macs in 1995.	 company
;macs;macs	 positive positive	That's the only issue I've ever had since working on Macs in 1995.	 company laptop
;null	 positive	That's a pretty impressive track record don't you think?	 company
;hp envy	 positive	However, the HP Envy has definitely met all of my expectations and more.	 laptop
;null	 positive	I have been thoroughly impressed with my purchase thus far and do not regret purchasing it at all.	 laptop
;price	 negative	While the price may seem high, it is worth every penny with its many perks.	 price
;price;null	 negative positive	While the price may seem high, it is worth every penny with its many perks.	 price laptop
;memory	 positive	The Pros:  A Ton of Storage Space- This laptop comes with 8GB of memory and a 1 TB (1000GB) hard drive.	 memory
;memory;hard drive	 positive positive	The Pros:  A Ton of Storage Space- This laptop comes with 8GB of memory and a 1 TB (1000GB) hard drive.	 memory harddisk
;space	 positive	That is plenty of space for your laptop, which really comes in handy for college students and computer gamers.	 harddisk
;laptop	 positive	2-in-1 Capability- The ease of switching this laptop into a tablet is a huge plus.	 laptop
;laptop;laptop	 positive positive	2-in-1 Capability- The ease of switching this laptop into a tablet is a huge plus.	 laptop laptop
;laptop	 positive	If you are looking to get a 2-in-1 laptop, this is the laptop you should consider.	 misc
;keyboard	 positive	I love the flexibility of being able to fold it over like a tent and watch movies, without having the keyboard in the way of things.	 laptop
;null	 positive	I find it much easier to type on and much more durable.	 keyboard
;null;null	 positive positive	I find it much easier to type on and much more durable.	 keyboard keyboard
;battery life	 positive	Battery Life- My battery life is really good with this laptop and I have had no problems with it thus far.	 battery
;battery life	 positive	I can usually go about 10 hours before I get down to 10% battery life.	 battery
;disc drive	 negative	The Cons:  No Disc Drive- Call me old fashioned, but I still enjoy listening to physical CDs and uploading them to iTunes.	 laptop
;disc drive	 negative	However, I can no longer do this because this laptop does not contain a disc drive.	 laptop
;null	 positive	Overall, I definitely would recommend this product to any college student that is in the market for a new laptop.	 laptop
;touchscreen	 positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display
;touchscreen;2-in-1 capability	 positive positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display laptop
;touchscreen;2-in-1 capability;null	 positive positive positive	The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.	 display laptop weight
;null	 positive	It also is nice to be able to play Candy Crush or Angry Birds when in between classes straight from your laptop.	 misc
;null	 positive	It makes it much more exciting to play!	 misc
;macbook	 positive	I'm actually writing this review on my new MacBook and I love it!	 laptop
;computer	 positive	The computer it self is amazing.	 laptop
;null	 neutral	It is an older model, so know that upfront, but it is everything I was looking for.	 misc
;null;null	 neutral positive	It is an older model, so know that upfront, but it is everything I was looking for.	 misc laptop
;macbook	 positive	From the moment I received this MacBook it was like a dream come true.	 laptop
;ram	 neutral	I know once I upgrade the ram to 8GB it will pick up a lot.	 memory
;laptop	 positive	Also, if after reading some reviews and doing some research I found out that this laptop is easily upgradable and easy to work on which is another big plus.	 laptop
;laptop	 positive	So long story short, if you want an oldie but a goodie this is your laptop.	 laptop
;null	 neutral	I know people were complaining that it isn't the newest model, but it all depends on what you are looking for.	 misc
;null	 positive	I highly recommend!!	 laptop
;computer	 positive	This computer is a fantastic tool for word processing, searching the internet, and keeping track of everyday life.	 misc
;null	 positive	It's also incredibly light, has a battery that can last for days, and looks like a piece of art.	 laptop
;null;battery	 positive positive	It's also incredibly light, has a battery that can last for days, and looks like a piece of art.	 laptop battery
;null	 neutral	Though, that's pretty much what your paying for -- a well designed device.	 price
;null;device	 neutral positive	Though, that's pretty much what your paying for -- a well designed device.	 price laptop
;computer	 negative	When you look at the internal specs, the computer is only worth about $500.	 laptop
;hard drive	 negative	It has a 128 GB storage capacity (but with the option of a 256 GB hard drive) and a 1.6GHz dual-core Intel Core i5, so don't expect to be gaming on this computer and make sure you pick up an external hard drive too.	 harddisk
;hard drive;dual-core intel core i5	 negative negative	It has a 128 GB storage capacity (but with the option of a 256 GB hard drive) and a 1.6GHz dual-core Intel Core i5, so don't expect to be gaming on this computer and make sure you pick up an external hard drive too.	 harddisk processor
;hard drive;dual-core intel core i5;null	 negative negative negative	It has a 128 GB storage capacity (but with the option of a 256 GB hard drive) and a 1.6GHz dual-core Intel Core i5, so don't expect to be gaming on this computer and make sure you pick up an external hard drive too.	 harddisk processor misc
;mac	 negative	If your looking to be a trendy hipster who can't live without a Mac, it's a great buy.	 laptop
;specs	 positive	It mixes a great balance between the specs that are needed and what you don't need.	 laptop
;null	 positive	Pros :  1. Nice Looks.	 laptop
;keyboard	 positive	2. Keyboard is great	 keyboard
;display	 positive	I wanted a simple Full HD display and this one does its job	 display
;sound	 positive	4. Sound is great	 multimedia
;hdd	 positive	5. And this has a extra slot for HDD	 laptop
;cd drive	 positive	6. No CD drive.	 laptop
;web cam	 negative	Cons:  1. Web cam.	 multimedia
;vga	 negative	VGA really ASUS??	 multimedia
;null	 negative	You don't want to show this to anyone :).	 multimedia
;webcam	 neutral	Anyway I don't use webcam much so , I don't care	 multimedia
;viewing angles	 negative	2. Viewing angles are not great.	 display
;dual core	 negative	3. Remember its a dual core.	 processor
;fan	 negative	4. The fan kicks in even its not too hot.	 misc
;track pad	 negative	5. I found the track pad not great.	 mouse
;mouse	 neutral	I use my mouse so not a problem for me.	 mouse
;system	 positive	Over all very good system and worth it.	 laptop
;computer	 positive	This was the ONLY tablet-style computer so far which met my requirements.	 laptop
;computer	 positive	I was seduced by this computer, so I took it home.	 laptop
;keyboard	 negative	The wireless keyboard (not bluetooth, but RF) did not pair up with the device.	 keyboard
;keyboard;null	 negative negative	The wireless keyboard (not bluetooth, but RF) did not pair up with the device.	 keyboard laptop
;null	 negative	It still did not pair.	 keyboard
;null;null	 negative negative	It still did not pair.	 keyboard laptop
;null	 negative	I even ran it as Administrator -- still no effect.	 keyboard
;null;null	 negative negative	I even ran it as Administrator -- still no effect.	 keyboard laptop
;null	 negative	I used the Ctrl-Esc keys while turning on, and still nothing.	 keyboard
;null;null	 negative negative	I used the Ctrl-Esc keys while turning on, and still nothing.	 keyboard laptop
;null	 negative	It flickers briefly to green before the light goes out.	 keyboard
;null	 negative	I still can't pair it.	 keyboard
;null;null	 negative negative	I still can't pair it.	 keyboard laptop
;bluetooth keyboard	 negative	I don't want to carry around a bluetooth keyboard for a computer whose keyboard is nonfunctional.	 keyboard
;null	 negative	Sony can eat the cost from the seller on this one while I get my money back for a DEFECTIVE product.	 laptop
;sony	 negative	But Sony doesn't seem to have addressed it.	 company
;computer	 positive	My first Mac computer and as many before me I just fall in love with it.	 laptop
;hdd	 neutral	Changed the memory from 4 GB to 8 GB Corsair Vengeance and 500 GB HDD (5400 rpm) with Seagate hybride 750 GB HDD+SSD.	 harddisk
;hdd;memory	 neutral neutral	Changed the memory from 4 GB to 8 GB Corsair Vengeance and 500 GB HDD (5400 rpm) with Seagate hybride 750 GB HDD+SSD.	 harddisk memory
;null	 positive	Machine is flying and with parallels desktop 8 I have my old PC notebook completely functional on my MBP.	 laptop
;null;null	 positive positive	Machine is flying and with parallels desktop 8 I have my old PC notebook completely functional on my MBP.	 laptop software
;null;null;null	 positive positive positive	Machine is flying and with parallels desktop 8 I have my old PC notebook completely functional on my MBP.	 laptop software laptop
;null	 positive	Way to go and enjoy both worlds.	 laptop
;asus	 positive	This ASUS you're looking at right here, and that I'm typing on right now, has one.	 laptop
;price	 positive	-  With that being said, for the price ($800!), you get a nice fast laptop, but if you ask me, it's missing some things that I feel should be automatically included:	 price
;price;laptop	 positive positive	-  With that being said, for the price ($800!), you get a nice fast laptop, but if you ask me, it's missing some things that I feel should be automatically included:	 price laptop
;price;laptop;null	 positive positive positive	-  With that being said, for the price ($800!), you get a nice fast laptop, but if you ask me, it's missing some things that I feel should be automatically included:	 price laptop laptop
;price;laptop;null;null	 positive positive positive negative	-  With that being said, for the price ($800!), you get a nice fast laptop, but if you ask me, it's missing some things that I feel should be automatically included:	 price laptop laptop laptop
;screen	 negative	This laptop has no:  - Touchscreen  - Optical Drives (OK, a bit of a stretch, because that would eat up precious space in this monster)  - Swivel or detachable screen	 display
;screen;null	 negative negative	This laptop has no:  - Touchscreen  - Optical Drives (OK, a bit of a stretch, because that would eat up precious space in this monster)  - Swivel or detachable screen	 display laptop
;laptop	 negative	What this laptop does have is:  - Windows 8, which is confusing as all get-out  - Tons of &amp;#34;bloatware&amp;#34;.	 laptop
;laptop;windows 8	 negative negative	What this laptop does have is:  - Windows 8, which is confusing as all get-out  - Tons of &amp;#34;bloatware&amp;#34;.	 laptop os
;laptop;windows 8;bloatware	 negative negative negative	What this laptop does have is:  - Windows 8, which is confusing as all get-out  - Tons of &amp;#34;bloatware&amp;#34;.	 laptop os software
;null	 positive	This is really nice, but I HATE the awkward right mouse clicking.. sometimes it works, sometimes it doesn't.. may be the laptop, may be the laptop in conjunction with Windows 8? 	 laptop
;null;mouse	 positive negative	This is really nice, but I HATE the awkward right mouse clicking.. sometimes it works, sometimes it doesn't.. may be the laptop, may be the laptop in conjunction with Windows 8? 	 laptop mouse
;null;mouse;mouse	 positive negative negative	This is really nice, but I HATE the awkward right mouse clicking.. sometimes it works, sometimes it doesn't.. may be the laptop, may be the laptop in conjunction with Windows 8? 	 laptop mouse mouse
;null	 negative	Either way, highly annoying.	 mouse
;usb mouse	 positive	I hooked up a USB mouse and all is well.	 laptop
;null	 positive	All works beautifully but Windows 8 is taking a bit of getting used to.	 laptop
;null;windows 8	 positive neutral	All works beautifully but Windows 8 is taking a bit of getting used to.	 laptop os
;null	 positive	Love the 360 degree rotation and the touch screen works great, but a little bit of a learning curve there too, as sometimes I have to tap a few times to get the exact location I need...	 laptop
;null;touch screen	 positive positive	Love the 360 degree rotation and the touch screen works great, but a little bit of a learning curve there too, as sometimes I have to tap a few times to get the exact location I need...	 laptop display
;null;touch screen;touch screen	 positive positive neutral	Love the 360 degree rotation and the touch screen works great, but a little bit of a learning curve there too, as sometimes I have to tap a few times to get the exact location I need...	 laptop display display
;laptop	 positive	overall it is just my learning a few things than any downfall with the laptop (the mouse was the only negative I could really see)...	 laptop
;laptop;mouse	 positive negative	overall it is just my learning a few things than any downfall with the laptop (the mouse was the only negative I could really see)...	 laptop mouse
;null	 positive	This is a fantastic transformer!	 laptop
;null	 positive	I loved playing with it and the touchscreen was great for the windows 8 platform.	 laptop
;null;touchscreen	 positive positive	I loved playing with it and the touchscreen was great for the windows 8 platform.	 laptop display
;photoshop	 negative	The only reason I returned it was because I bought it to use the touchscreen with photoshop and because of the program, it could not utilize the touchscreen within the work space except to zoom and rotate.	 software
;photoshop;touchscreen	 negative negative	The only reason I returned it was because I bought it to use the touchscreen with photoshop and because of the program, it could not utilize the touchscreen within the work space except to zoom and rotate.	 software display
;null	 positive	I would have kept it but that was the sole reason for my purchase.	 laptop
;null;null	 positive negative	I would have kept it but that was the sole reason for my purchase.	 laptop misc
;null	 positive	It's a great product and would recommend to anyone looking for a transformer or large touchscreen.	 laptop
;null;touchscreen	 positive positive	It's a great product and would recommend to anyone looking for a transformer or large touchscreen.	 laptop display
;laptop	 positive	I'm looking forward to needing a laptop update so I can purchase this computer again.	 laptop
;computer	 positive	I've only had this for a week Overall I like the computer, it's thin &amp; light and The wireless keyboard works great.	 laptop
;computer;null	 positive positive	I've only had this for a week Overall I like the computer, it's thin &amp; light and The wireless keyboard works great.	 laptop laptop
;computer;null;wireless keyboard	 positive positive positive	I've only had this for a week Overall I like the computer, it's thin &amp; light and The wireless keyboard works great.	 laptop laptop keyboard
;charger	 positive	I was impressed; Sony puts in small touches like a USB charging port on the charger.	 laptop
;stylus holder	 negative	One thing I did't like is the stylus holder, it's cheap plastic and doesn't seem to be well thought out because it gets installed on the cover for the USB port.	 hardware
;stylus holder;usb port	 negative negative	One thing I did't like is the stylus holder, it's cheap plastic and doesn't seem to be well thought out because it gets installed on the cover for the USB port.	 hardware laptop
;stylus	 negative	I do't use it, I think I would accidently break it and loose my stylus.	 hardware
;null	 negative	The other Issue I had was the amount of time it takes to update the operating system and all the software when you get it.	 misc
;laptop	 positive	Awesome laptop for college!!!	 misc
;null	 positive	Can be used for gaming as well.	 misc
;null	 positive	It's light, fast and has great battery!!	 laptop
;null;null	 positive positive	It's light, fast and has great battery!!	 laptop laptop
;null;null;battery	 positive positive positive	It's light, fast and has great battery!!	 laptop laptop battery
;null	 positive	It's a steal when considering the specs and performance as well.	 price
;null;specs	 positive positive	It's a steal when considering the specs and performance as well.	 price laptop
;null;specs;null	 positive positive positive	It's a steal when considering the specs and performance as well.	 price laptop laptop
;processor	 positive	The processor and GPU are fantastic at running games and multiple apps.	 processor
;processor;gpu	 positive positive	The processor and GPU are fantastic at running games and multiple apps.	 processor graphics
;null	 positive	I can run most games to a good quality without seeing any lack of speed.	 misc
;null;null	 positive positive	I can run most games to a good quality without seeing any lack of speed.	 misc laptop
;keyboard	 positive	The backlit keyboard is a nice touch especially.	 keyboard
;computer	 negative	Make sure to only handle this computer with clean hands because the front cover can get oily pretty fast.	 laptop
;laptop	 positive	I'm overall very pleased with my new laptop!!!	 laptop
;speakers	 negative	The only downside are the speakers.	 multimedia
;null	 negative	They don't go very loud at all.	 multimedia
;sound	 positive	The quality of the sound is nice but the lack of volume really kills it for me.	 multimedia
;sound;null	 positive negative	The quality of the sound is nice but the lack of volume really kills it for me.	 multimedia multimedia
;null	 negative	This is mostly not an issue since I mainly use earbuds anyways however it could be annoying at times.	 multimedia
;null	 positive	The screen looked fine to me and wasn't an issue like others have been saying.	 display
;null	 positive	Overall great for me!!!	 laptop
;null	 positive	This laptop has delivered.	 laptop
;null	 positive	I immediately did the Windows 10 upgrade and haven't had any issues.	 laptop
;wireless adapter	 positive	The wireless adapter is strong and the SSD is fast.	 laptop
;wireless adapter;ssd	 positive positive	The wireless adapter is strong and the SSD is fast.	 laptop harddisk
;boots	 positive	This thing boots in just a few seconds which is nice.	 laptop
;screen	 neutral	Others have mentioned issues with viewing angle on the screen, but I never use the laptop where I'm not looking straight at it so it doesn't bother me.	 display
;null	 positive	I'm very pleased with the purchase.	 laptop
;boot time	 positive	Boot time is super fast, around anywhere from 35 seconds to 1 minute.	 laptop
;apps	 positive	Apps launch super fast, and the 500GB HDD is more than sufficient.	 software
;apps;hdd	 positive positive	Apps launch super fast, and the 500GB HDD is more than sufficient.	 software harddisk
;mac	 positive	I usually use my Mac for school work and internet browsing, so the entry-level 13' MacBook Pro is already more than what I expected from a computer I would typically use it for.	 misc
;mac;macbook pro	 positive positive	I usually use my Mac for school work and internet browsing, so the entry-level 13' MacBook Pro is already more than what I expected from a computer I would typically use it for.	 misc laptop
;null	 positive	Macs hardly ever get viruses, and they are completely incompatible with existing Microsoft Windows Viruses.	 laptop
;mac os x mountain lion's gate keeper	 positive	Furthermore, Mac OS X Mountain Lion's Gate keeper prevents the user from downloading malware and trojans, which keep your data safe and your computer running at optimum speed.	 os
;mac os x mountain lion's gate keeper;speed	 positive positive	Furthermore, Mac OS X Mountain Lion's Gate keeper prevents the user from downloading malware and trojans, which keep your data safe and your computer running at optimum speed.	 os laptop
;keyboard	 positive	The keys on the keyboard are evenly spaced and are back-lit, which make it easy to use at night and for speed writing (Typing?).	 keyboard
;keyboard;keyboard	 positive positive	The keys on the keyboard are evenly spaced and are back-lit, which make it easy to use at night and for speed writing (Typing?).	 keyboard keyboard
;screen resolution	 positive	Overall, the screen resolution, though non-retina, is sufficient for normal web browsing and work.	 display
;thunderbolt port	 positive	The thunderbolt port is awesome!	 hardware
;null	 neutral	US 3.0 comes with the MBP and has transfer rates of up to 5gbps.	 laptop
;null;null	 neutral positive	US 3.0 comes with the MBP and has transfer rates of up to 5gbps.	 laptop hardware
;ports	 neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop
;ports;firewire 800	 neutral neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop laptop
;ports;firewire 800;gigabit ethernet	 neutral neutral neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop laptop laptop
;ports;firewire 800;gigabit ethernet;magsafe port	 neutral neutral neutral neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop laptop laptop laptop
;ports;firewire 800;gigabit ethernet;magsafe port;microphone jack	 neutral neutral neutral neutral neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop laptop laptop laptop laptop
;sdhc card reader	 neutral	SDHC card reader and an optical drive for burning and reading discs.	 laptop
;sdhc card reader;optical drive	 neutral neutral	SDHC card reader and an optical drive for burning and reading discs.	 laptop laptop
;track pad	 positive	The glass track pad is large enough for Apple's highly acclaimed multi-touch gestures for scrolling through web pages with two fingers, zooming in on certain parts of certain apps by double tapping with two fingers, accessing launchpad by pinching with five fingers and using mission control by swiping up with four fingers.	 mouse
;track pad;multi-touch gestures	 positive positive	The glass track pad is large enough for Apple's highly acclaimed multi-touch gestures for scrolling through web pages with two fingers, zooming in on certain parts of certain apps by double tapping with two fingers, accessing launchpad by pinching with five fingers and using mission control by swiping up with four fingers.	 mouse mouse
;mouse	 positive	For Windows users switching to a Mac, you can also enable right clicking (known to apple as secondary click) in the system preferences&gt; Mouse and enabling right clicking.	 mouse
;aluminium uni-body	 positive	The unique to apple aluminium uni-body is a real beauty.	 laptop
;null	 positive	It makes the MBP very durable and protects it from scratches, though you shouldn't go launching it against a wall for the sake of trying it.	 laptop
;mac app store	 positive	The Mac app store and iTunes store are phenomenal.	 software
;mac app store	 positive	The Mac app store is your one-stop shop for Mac software, though you can also download software online at your own risk.	 software
;app store	 positive	There are currently around 10,000 apps on the App store (and counting...), and billions of songs available for download fro the iTunes store.	 software
;itunes	 positive	iTunes is one of the better media players available on the market with it's simple to use User Interface.	 software
;itunes;user interface	 positive positive	iTunes is one of the better media players available on the market with it's simple to use User Interface.	 software software
;null	 positive	I'm sure you won't regret making this purchase.	 laptop
;null	 negative	One of the worst pieces of electronics I have ever bought.	 laptop
;performance	 negative	Very pour performance.	 laptop
;null	 negative	It takes for ever to wake it up.	 laptop
;null	 negative	Sometimes It stops receiving wifi signal, so I have to restart it.	 laptop
;null;null	 negative negative	Sometimes It stops receiving wifi signal, so I have to restart it.	 laptop laptop
;null	 negative	It is very slow and not responsive.	 laptop
;null	 negative	Would not recommend.	 laptop
;glare	 negative	Glare is also pretty frustrating.	 display
;null	 negative	There is definitely more to say...	 laptop
;null	 positive	I tested it, it worked great.	 laptop
;null	 negative	He received it, and one day later it DIES.	 laptop
;null;null	 negative negative	He received it, and one day later it DIES.	 laptop laptop
;laptop	 negative	The laptop refuses to start, we have troubleshooted all areas, still fails to start.	 laptop
;bios	 negative	Cannot even get to bios.	 laptop
;null	 negative	Just a click and a BLACK SCREEN.	 laptop
;null	 negative	Of course, it DIES 3 days past the return window.	 laptop
;laptop	 negative	We got two days of operation from this laptop.	 laptop
;laptop;laptop	 negative negative	We got two days of operation from this laptop.	 laptop laptop
;flash drive	 positive	When the MacBook Pro arrived, I helped her transfer all of her schoolwork from the PC to the Mac... an easy drag-and-drop process utilizing a flash drive.	 laptop
;ram	 positive	It was delivered with 4GB of RAM -- 2GB on each of two sticks -- which was probably adequate.	 memory
;null	 positive	So I simply pulled one 2GB stick from the machine and installed the 8GB stick in its place.	 laptop
;null	 positive	The machine now has 10 gigs of RAM and it works just fine.	 laptop
;null;10 gigs of ram	 positive neutral	The machine now has 10 gigs of RAM and it works just fine.	 laptop memory
;apple	 positive	But, hey, it's an Apple.	 company
;apple;null	 positive positive	But, hey, it's an Apple.	 company laptop
;null	 positive	I wouldn't expect anything less!	 company
;null;null	 positive positive	I wouldn't expect anything less!	 company laptop
;null	 negative	If it was possible to give them 0 start, I would have done it.	 laptop
;null;null	 negative negative	If it was possible to give them 0 start, I would have done it.	 laptop company
;keyboard	 negative	My Laptop's one of the Key from keyboard came out and it was mechanical failure.	 keyboard
;null	 negative	My laptop was under coverage but when I gave it to them for repairs, they quoted me $755 for it.	 warranty
;null;null	 negative negative	My laptop was under coverage but when I gave it to them for repairs, they quoted me $755 for it.	 warranty warranty
;company	 negative	this company just wants customers' money in their pocket.	 company
;null	 negative	they dont care how you feel when they charge you hundreds of hard earned dollars.	 company
;company	 negative	I wish this company to go bust.	 company
;null	 negative	I will never ever buy any apple product in my life.	 company
;null	 positive	Overall I love it.	 laptop
;null	 negative	First, when I move the screen to put it in tablet position, the hinge doesn't seem totally solid.	 laptop
;null	 neutral	I feel like I need to be really gentle with it, but maybe that's just me.	 laptop
;keyboard	 negative	Also, and this maybe is another personal quirk, but the keyboard sits a little far back for my taste so my watch scrapes against the edge of the laptop.	 keyboard
;keyboard;keyboard	 negative negative	Also, and this maybe is another personal quirk, but the keyboard sits a little far back for my taste so my watch scrapes against the edge of the laptop.	 keyboard keyboard
